Manufacturer,Model #,Form Factor,Wattage,0.1,0.2,0.5,1,Rating,Date Certified
Nanjing Huaqi Information Technology Developments,OEM_ES750,ATX12V,750,0.8805,0.912,0.9154,0.8839,Gold,19/03/2019
HKC Overseas Limited,HKCJP-750AGX-1,ATX12V,750,0.8805,0.912,0.9154,0.8839,Gold,19/03/2019
Dell,H460EBM-00,SFX,460,0.8496,0.8803,0.9045,0.8835,Gold,11/03/2019
Dell,H360EBM-00,SFX,360,0.8227,0.8628,0.9005,0.8809,Silver,11/03/2019
EVGA,650 GT,ATX12V,650,0.8566,0.8997,0.9084,0.8776,Gold,05/03/2019
EVGA,750 GT,ATX12V,750,0.8582,0.9001,0.9085,0.8766,Gold,05/03/2019
EVGA,550 GT,ATX12V,550,0.853,0.8982,0.9106,0.8812,Gold,04/03/2019
LC-Power,LC400SI V2.3,ATX12V,300,0.7496,0.8091,0.8441,0.8237,Standard,27/02/2019
LC-Power,LC8750RGB V2.3,"ATX12V, EPS12V",750,0.8214,0.8672,0.8802,0.8408,Bronze,27/02/2019
Cooler Master,MPE-7001-ACAAB,EPS12V,700,0.7966,0.8551,0.8817,0.8449,Bronze,27/02/2019
Cooler Master,MPE-7501-ACAAB,EPS12V,750,0.7955,0.8869,0.8946,0.8536,Silver,27/02/2019
Cooler Master,MPE-6501-ACAAB,EPS12V,650,0.7924,0.8269,0.8979,0.8636,Bronze,27/02/2019
ApextechUSA LLC.,STG-550,ATX12V,550,0.833,0.8848,0.9087,0.8904,Gold,27/02/2019
EVGA,700 GD,"ATX12V, EPS12V",700,0.8165,0.88,0.9042,0.8796,Gold,26/02/2019
EVGA,500 GD,"ATX12V, EPS12V",500,0.8087,0.8708,0.9015,0.8863,Gold,26/02/2019
EVGA,600 GD,"ATX12V, EPS12V",600,0.8127,0.8726,0.9016,0.884,Gold,26/02/2019
Cooler Master,MPE-5501-ACAAB,EPS12V,550,0.749,0.8667,0.8754,0.836,Bronze,26/02/2019
Cooler Master,MPE-6001-ACAAB,EPS12V,600,0.7957,0.8598,0.8925,0.8672,Silver,26/02/2019
Cooler Master,MPE-4501-ACAAB,EPS12V,450,0.7631,0.836,0.8764,0.8457,Bronze,25/02/2019
Cooler Master,MPE-5001-ACAAB,EPS12V,500,0.6702,0.8648,0.8781,0.84,Bronze,25/02/2019
"Delta Electronics, Inc.",PSL430-A,Custom,432,0.8428,0.8871,0.9048,0.8974,Gold,21/02/2019
Cooler Master,MPE-6501-ACAAW,EPS12V,650,0.7983,0.8637,0.8828,0.8485,Bronze,19/02/2019
Cooler Master,MPE-7501-ACAAW,EPS12V,750,0.828,0.8863,0.8926,0.8513,Silver,19/02/2019
Cooler Master,MPE-4501-ACAAW,EPS12V,450,0.7503,0.8592,0.8742,0.8442,Bronze,19/02/2019
Lenovo,PS-8501-2VB,Custom,500,0.8416,0.8838,0.8916,0.843,Bronze,18/02/2019
Cooler Master,MPE-5501-ACAAW,EPS12V,550,0.7645,0.8602,0.8668,0.8201,Bronze,18/02/2019
FSP Technology Inc.,HA2-550,ATX12V,550,0.8071,0.8617,0.8807,0.8501,Silver,14/02/2019
Chieftronic,GPU-850FC,ATX12V,850,0.8882,0.9212,0.9306,0.9031,Platinum,13/02/2019
FSP Technology Inc.,HA2-650,ATX12V,650,0.8111,0.8648,0.8816,0.845,Bronze,13/02/2019
Channel Well Technology Co.,CST850L-P,ATX12V,850,0.8882,0.9212,0.9306,0.9031,Platinum,13/02/2019
Tiger Power,TG18-0250-01,ATX12V,250,0.7756,0.8358,0.862,0.8278,Bronze,13/02/2019
GOLDEN REGENT ELECTRONICS INDUSTRIAL LTD,PSL430-A,PS2,435,0.8428,0.8871,0.9048,0.8974,Gold,12/02/2019
3Y Power Technology,YM-3541B,Custom,540,0.7963,0.862,0.8935,0.8808,Silver,08/02/2019
GOLDEN REGENT ELECTRONICS INDUSTRIAL LTD,GPL430-AH,PS2,435,0.8317,0.8886,0.9139,0.9035,Gold,08/02/2019
Xigmatek,HERA 850G14,ATX12V,850,0.8924,0.9071,0.9148,0.8797,Gold,08/02/2019
In Win,IW-GD650PS,ATX12V,650,0.8471,0.8949,0.9098,0.8842,Gold,07/02/2019
Xigmatek,HERA 750G14,ATX12V,750,0.8627,0.903,0.9109,0.8778,Gold,07/02/2019
Fractal Design,FD-PSU-ION-SFX-500G-BK,SFX,500,0.8351,0.8852,0.9042,0.8872,Gold,05/02/2019
HuntKey,HK750-51PP,ATX12V,650,0.852,0.9042,0.9084,0.8758,Gold,05/02/2019
Xigmatek,HERA 650G14,ATX12V,650,0.8439,0.8887,0.9091,0.8757,Gold,05/02/2019
"Sea Sonic Electronics Co., Ltd.",SSR-500SGX,SFX,500,0.8351,0.8852,0.9042,0.8872,Gold,05/02/2019
Chieftronic,GPU-750FC,ATX12V,750,0.8467,0.9046,0.9057,0.8737,Gold,04/02/2019
Channel Well Technology Co.,CST1550,ATX12V,1550,0.9308,0.9476,0.9419,0.9081,Titanium,04/02/2019
Channel Well Technology Co.,GPR750V-AG,ATX12V,750,0.8467,0.9046,0.9057,0.8737,Gold,04/02/2019
Chieftronic,GPU-550FC,ATX12V,550,0.8584,0.8949,0.9057,0.8747,Gold,01/02/2019
Chieftronic,GPU-650FC,ATX12V,650,0.8678,0.9,0.9001,0.8754,Gold,01/02/2019
Channel Well Technology Co.,GPR550V-AG,ATX12V,550,0.8584,0.8949,0.9057,0.8747,Gold,01/02/2019
Channel Well Technology Co.,GPR650V-AG,ATX12V,650,0.8678,0.9,0.9001,0.8754,Gold,01/02/2019
"Sea Sonic Electronics Co., Ltd.",SSP-650RS,"ATX12V, EPS12V",650,0.822,0.8811,0.9059,0.89,Gold,25/01/2019
"Sea Sonic Electronics Co., Ltd.",SSP-1000RS,"ATX12V, EPS12V",1000,0.8536,0.8986,0.9136,0.8884,Gold,25/01/2019
"Sea Sonic Electronics Co., Ltd.",SSP-750RS,"ATX12V, EPS12V",750,0.8322,0.8858,0.9173,0.8961,Gold,25/01/2019
"Sea Sonic Electronics Co., Ltd.",SSP-850RS,"ATX12V, EPS12V",850,0.8429,0.8913,0.9047,0.8788,Gold,25/01/2019
AcBel Polytech Inc.,FLXA5251C,FLEX ATX,250,0.777,0.8363,0.8612,0.8282,Bronze,24/01/2019
Apevia Corp.,ATX-PR1000W,ATX12V,1000,0.8245,0.8718,0.9013,0.8762,Gold,24/01/2019
Apevia Corp.,ATX-PR800W,ATX12V,800,0.8492,0.8883,0.9093,0.8952,Gold,24/01/2019
Apevia Corp.,ATX-PR600W,ATX12V,600,0.8638,0.9038,0.9149,0.8885,Gold,24/01/2019
Zalman,ZM750-GVII,"ATX12V, EPS12V",750,0.7987,0.8542,0.8758,0.8425,Bronze,16/01/2019
Zalman,ZM550-GVII,"ATX12V, EPS12V",550,0.7651,0.8352,0.8751,0.864,Bronze,15/01/2019
Zalman,ZM650-GVII,"ATX12V, EPS12V",650,0.7852,0.843,0.8757,0.8563,Bronze,15/01/2019
iTek,ITPSEGF650,ATX12V,650,0.8724,0.91,0.916,0.887,Gold,14/01/2019
iTek,ITPSEGF750,ATX12V,750,0.8997,0.927,0.9238,0.8868,Gold,14/01/2019
iTek,ITPSEGF850,ATX12V,850,0.9044,0.9283,0.9174,0.8846,Gold,14/01/2019
iTek,ITPSTGF750,ATX12V,750,0.8997,0.927,0.9238,0.8868,Gold,14/01/2019
iTek,ITPSTGF850,ATX12V,850,0.9044,0.9283,0.9174,0.8846,Gold,14/01/2019
iTek,ITPSTGF650,ATX12V,650,0.8724,0.91,0.916,0.887,Gold,14/01/2019
iTek,ITPSEBS750,ATX12V,750,0.8221,0.8681,0.8762,0.8485,Bronze,11/01/2019
iTek,ITPSEBS650,ATX12V,650,0.8331,0.8687,0.8745,0.8416,Bronze,11/01/2019
iTek,ITPSEWN700,ATX12V,700,0.7857,0.8456,0.8542,0.8093,Standard,11/01/2019
Setec Pty Ltd,GEN9-540,Other,540,0.8172,0.8713,0.9114,0.9157,Gold,11/01/2019
iTek,ITPSTWN700,ATX12V,700,0.7857,0.8456,0.8542,0.8093,Standard,11/01/2019
iTek,ITPSTBS750,ATX12V,750,0.8221,0.8681,0.8762,0.8485,Bronze,11/01/2019
iTek,ITPSTBS650,ATX12V,650,0.8331,0.8687,0.8745,0.8416,Bronze,11/01/2019
iTek,ITPSEWN600,ATX12V,600,0.7622,0.8214,0.846,0.8126,Standard,10/01/2019
iTek,ITPSTWN600,ATX12V,600,0.7622,0.8214,0.846,0.8126,Standard,10/01/2019
iTek,ITPSEWN500,ATX12V,500,0.7472,0.8185,0.8438,0.8174,Standard,09/01/2019
AcBel Polytech Inc.,FLXA5351A,FLEX ATX12V,350,0.8369,0.8898,0.9042,0.8727,Gold,09/01/2019
iTek,ITPSTWN500,ATX12V,500,0.7472,0.8185,0.8438,0.8174,Standard,09/01/2019
In Win,PB 650W,"ATX12V, EPS12V, PS2",650,0.845,0.8923,0.9089,0.8813,Gold,02/01/2019
Kinpower International Ltd.,KP750B,ATX12V,750,0.8534,0.8956,0.8942,0.8431,Bronze,17/12/2018
Evolveo,FX750,ATX12V,750,0.8534,0.8956,0.8942,0.8431,Bronze,17/12/2018
Gambyte,R750GB,ATX12V,750,0.8534,0.8956,0.8942,0.8431,Bronze,17/12/2018
"Dong Guan Xin Tong Ye Electronic Technology Co., Ltd.",SP750,ATX12V,750,0.8534,0.8956,0.8942,0.8431,Bronze,17/12/2018
FSP Technology Inc.,SDA2-550,"ATX12V, SFX",550,0.8459,0.8913,0.9088,0.8869,Gold,12/12/2018
FSP Technology Inc.,SDA2-650,"ATX12V, SFX",650,0.8582,0.9,0.9075,0.8781,Gold,12/12/2018
FSP Technology Inc.,HG2-750,"ATX12V, EPS12V",750,0.8606,0.9021,0.9145,0.8835,Gold,12/12/2018
FSP Technology Inc.,HG2-650,"ATX12V, EPS12V",650,0.8504,0.8956,0.9098,0.8814,Gold,12/12/2018
SilverStone Technology Inc.,SST-1000-PTS,"ATX12V, EPS12V",1000,0.869,0.9259,0.9271,0.907,Platinum,07/12/2018
SilverStone Technology Inc.,SST-1200-PTS,"ATX12V, EPS12V",1200,0.8915,0.9208,0.925,0.8973,Platinum,07/12/2018
"Sea Sonic Electronics Co., Ltd.",SSR-550GB3,"ATX12V, EPS12V",550,0.7984,0.846,0.8637,0.8396,Bronze,06/12/2018
"Sea Sonic Electronics Co., Ltd.",SSR-650GB3,"ATX12V, EPS12V",650,0.7997,0.8534,0.8663,0.8353,Bronze,06/12/2018
"Sea Sonic Electronics Co., Ltd.",SSR-500GB3,"ATX12V, EPS12V",500,0.7913,0.8406,0.86,0.8349,Bronze,06/12/2018
SilverStone Technology Inc.,SST-SX700-G,SFX,700,0.8354,0.8838,0.9113,0.8869,Gold,06/12/2018
"HP, Inc.",HK280-85PP,Custom,180,0.8585,0.9002,0.92,0.8903,Platinum,05/12/2018
Thermaltake,TTP-850AH3FCG Toughpower GF1 850W,"ATX12V, EPS12V, PS2",850,0.879,0.9127,0.9177,0.8846,Gold,29/11/2018
Thermaltake,TTP-650AH3FCG Toughpower GF1 650W,"ATX12V, EPS12V, PS2",650,0.8719,0.9073,0.9148,0.8858,Gold,29/11/2018
Thermaltake,TTP-750AH3FCG Toughpower GF1 750W,"ATX12V, EPS12V, PS2",750,0.8832,0.9127,0.9209,0.89,Platinum,29/11/2018
Thermaltake,SMART 650,ATX12V,650,0.8749,0.9045,0.9107,0.8922,Gold,29/11/2018
Channel Well Technology Co.,GPR1000V-FG,ATX12V,10000,0.8606,0.9029,0.912,0.8792,Gold,28/11/2018
Crown Micro China Ltd.,CM-PS500W PRO,ATX12V,500,0.7868,0.8533,0.8921,0.876,Silver,28/11/2018
Thermaltake,TPI-1000DH3FCG TOUGHPOWER iRGB PLUS 1000W,ATX12V,1000,0.8606,0.9029,0.915,0.8792,Gold,28/11/2018
Thermaltake,TPI-750DH3FCG TOUGHPOWER iRGB PLUS 750W,ATX12V,750,0.8548,0.8994,0.9123,0.883,Gold,28/11/2018
Thermaltake,TPI-850DH3FCG TOUGHPOWER iRGB PLUS 850W,ATX12V,850,0.8581,0.902,0.9122,0.8806,Gold,28/11/2018
"HP, Inc.",D18-180P1A,Custom,180,0.8733,0.9087,0.9284,0.9048,Platinum,27/11/2018
"HP, Inc.",D18-180P2A,Custom,180,0.8741,0.9094,0.9294,0.9065,Platinum,27/11/2018
Crown Micro China Ltd.,CM-PS450W PRO,ATX12V,450,0.7951,0.8559,0.8946,0.8882,Silver,27/11/2018
Lenovo,Lenovo (PCJ007),SFX,310,0.8917,0.9138,0.9274,0.8973,Platinum,20/11/2018
Zalman,ZM1200-EBTII,EPS12V,1200,0.8582,0.8908,0.9129,0.8821,Gold,15/11/2018
Zalman,ZM700-EBTII,EPS12V,700,0.8366,0.881,0.9069,0.89,Gold,15/11/2018
Zalman,ZM800-EBTII,EPS12V,800,0.8384,0.8824,0.9117,0.8905,Gold,15/11/2018
Zalman,ZM1000-EBTII,EPS12V,1000,0.8458,0.8863,0.9118,0.8858,Gold,14/11/2018
Wentai Technology corporation,Aidan-T1616,ATX12V,1616,0.9325,0.9514,0.9493,0.9249,Titanium,09/11/2018
ABKO,TENERGY 700-MMXX,ATX12V,700,0.7837,0.8454,0.8662,0.836,Bronze,07/11/2018
Nanjing Huaqi Information Technology Developments,DJ 1250,ATX12V,1250,0.8912,0.9162,0.9157,0.8834,Gold,07/11/2018
SAMA,GTX-500-1,ATX12V,500,0.7852,0.8401,0.8546,0.821,Bronze,07/11/2018
HuntKey,HK650-57PP,ATX12V,550,0.8453,0.899,0.9106,0.8837,Gold,01/11/2018
Thermaltake,SPD-450AH2NKB SMART BX1 450W,ATX12V,450,0.7994,0.8421,0.8636,0.8353,Bronze,29/10/2018
Thermaltake,TP-500AH2NKG TOUGHPOWER GX1 RGB 500W,"ATX12V, EPS12V, PS2",500,0.8354,0.8887,0.9078,0.8927,Gold,23/10/2018
Corsair,RPS0115 (CP-9020186) (SF750),"ATX12V, EPS12V",750,0.8851,0.9158,0.9251,0.8959,Platinum,23/10/2018
Mavoly,ATX-2775GB1,"ATX12V, PS2",750,0.874,0.9106,0.9128,0.8758,Gold,22/10/2018
"Delta Electronics, Inc.",DPS-300AB-102,1U,300,0.8218,0.8853,0.9223,0.9171,Gold,22/10/2018
SilverStone Technology Inc.,SST-ST75F-GS,"ATX12V, PS2",750,0.874,0.9106,0.9128,0.8758,Gold,22/10/2018
SilverStone Technology Inc.,SST-ST85F-GS,"ATX12V, PS2",850,0.8902,0.9201,0.919,0.8845,Gold,22/10/2018
Mavoly,ATX-2765GB1,"ATX12V, PS2",650,0.8623,0.9032,0.9093,0.8798,Gold,19/10/2018
SilverStone Technology Inc.,SST-ST65F-GS,"ATX12V, PS2",650,0.8623,0.9032,0.9093,0.8798,Gold,19/10/2018
Mavoly,ATX-2755GB1,"ATX12V, PS2",550,0.8494,0.8912,0.9103,0.8867,Gold,18/10/2018
SilverStone Technology Inc.,SST-ST55F-GS,"ATX12V, PS2",550,0.8494,0.8912,0.9103,0.8867,Gold,18/10/2018
SilverStone Technology Inc.,SST-NJ600,"ATX12V, EPS12V, PS2",600,0.905,0.9352,0.9405,0.9261,Titanium,18/10/2018
Corsair,RPS0105 (CP-9020175) (Vengeance 650M),ATX12V,650,0.8553,0.8922,0.9017,0.8753,Gold,16/10/2018
Corsair,RPS0106 (CP-9020176) (Vengeance 750M),ATX12V,750,0.8633,0.894,0.9003,0.8648,Silver,16/10/2018
Thermaltake,TP-600AH2NKG TOUGHPOWER GX1 RGB 600W,"ATX12V, EPS12V, PS2",600,0.8603,0.898,0.9065,0.8833,Gold,15/10/2018
Thermaltake,TP-700AH2NKG TOUGHPOWER GX1 RGB 700W,"ATX12V, EPS12V, PS2",700,0.8743,0.9055,0.9138,0.884,Gold,15/10/2018
In Win,PB 750W,"ATX12V, EPS12V, PS2",750,0.8501,0.8964,0.9149,0.8853,Gold,12/10/2018
In Win,PB 850W,"ATX12V, EPS12V, PS2",850,0.8636,0.9102,0.9153,0.8816,Gold,12/10/2018
In Win,CS 700W,SFX,700,0.8436,0.8918,0.9131,0.89,Gold,12/10/2018
In Win,CB 1250W,"ATX12V, EPS12V, PS2",1250,0.9095,0.9302,0.9294,0.9004,Platinum,12/10/2018
In Win,CB 1050W,"ATX12V, EPS12V, PS2",1050,0.8972,0.9305,0.9265,0.901,Platinum,12/10/2018
Thermaltake,SPD-650AH2NKB SMART BX1 650W,ATX12V,650,0.8181,0.8593,0.8708,0.8317,Bronze,10/10/2018
Thermaltake,SPD-750AH2NKB SMART BX1 750W,ATX12V,750,0.8483,0.8869,0.8873,0.835,Bronze,10/10/2018
Thermaltake,SPD-550AH2NKB SMART BX1 550W,ATX12V,550,0.8107,0.8555,0.8617,0.8265,Bronze,09/10/2018
DL,PCG050018,ATX12V,600,0.8097,0.8563,0.8704,0.8326,Bronze,09/10/2018
FSP Technology Inc.,FSP600-50SG,"ATX12V, EPS12V",600,0.8236,0.8778,0.9002,0.8787,Gold,01/10/2018
DL,FT251BRA,ATX12V,500,0.8129,0.8509,0.8681,0.8387,Bronze,01/10/2018
Corsair,RPS0111 (CP-9020181) (SF450),"ATX12V, SFX",450,0.8652,0.9064,0.9242,0.9089,Platinum,28/09/2018
"Delta Electronics, Inc.",DPS-300AB-103 X,1U,300,0.8317,0.879,0.9129,0.9134,Gold,26/09/2018
EVGA,600GQ,ATX12V,600,0.8732,0.908,0.9168,0.895,Gold,25/09/2018
EVGA,700GQ,ATX12V,700,0.8827,0.9146,0.918,0.8874,Gold,25/09/2018
ApextechUSA LLC.,STB-550,ATX12V,550,0.7978,0.8466,0.8684,0.839,Bronze,20/09/2018
"HP, Inc.",DPS-650AB-30 A,Other,650,0.8758,0.9101,0.9158,0.8865,Gold,20/09/2018
"DongGuan Pinsheng Electronic Co.,Ltd",PS-60Erp2013,ATX12V,800,0.8204,0.8643,0.8703,0.8323,Bronze,19/09/2018
ApextechUSA LLC.,STB-450,ATX12V,450,0.7788,0.8321,0.8671,0.8488,Bronze,19/09/2018
"DongGuan Pinsheng Electronic Co.,Ltd",PS-60Erp2013,ATX12V,500,0.7834,0.8408,0.8625,0.8344,Bronze,18/09/2018
"DongGuan Pinsheng Electronic Co.,Ltd",PS-60Erp2013,ATX12V,600,0.8151,0.8603,0.8715,0.8325,Bronze,18/09/2018
"DongGuan Pinsheng Electronic Co.,Ltd",PS-60Erp2013,ATX12V,700,0.8063,0.8526,0.8707,0.8405,Bronze,18/09/2018
"DongGuan Pinsheng Electronic Co.,Ltd",PS-60Erp2013,ATX12V,400,0.7539,0.8248,0.8616,0.8457,Bronze,18/09/2018
Comstars,KT-16510PP-MAX,EPS12V,1650,0.9057,0.9323,0.9408,0.9143,Titanium,10/09/2018
"HP, Inc.",DPS-750AB-40 C,ATX12V,750,0.8828,0.9143,0.9283,0.9067,Platinum,10/09/2018
FSP Technology Inc.,HG2-1000,"ATX12V, EPS12V",1000,0.8794,0.9116,0.9143,0.8796,Gold,06/09/2018
Corsair,RPS0112 (CP-9020182) (SF600),"ATX12V, SFX",600,0.8758,0.9123,0.9251,0.9039,Platinum,05/09/2018
Lenovo,PS-8501-2,ATX12V,500,0.8422,0.8813,0.8878,0.8357,Bronze,04/09/2018
Lenovo,PS-8501-2VA,ATX12V,500,0.8422,0.8813,0.8878,0.8357,Bronze,04/09/2018
"HP, Inc.",D18-310P1A,Custom,310,0.8764,0.9055,0.9223,0.8928,Platinum,29/08/2018
Lite-On Technology Corporation,PS-8501-2A,ATX12V,500,0.8384,0.879,0.8874,0.8361,Bronze,27/08/2018
Fujitsu,S26113-E601-V50-01,ATX12V,250,0.8371,0.8704,0.88,0.8452,Bronze,27/08/2018
CFD Sales Inc.,KRPW-SXP600W/90+,SFX,600,0.8317,0.8934,0.9054,0.8857,Gold,24/08/2018
Aerocool,KCAS PLUS 1200GM,ATX12V,1200,0.8561,0.891,0.9077,0.8794,Gold,24/08/2018
FSP Technology Inc.,HG2-850,"ATX12V, EPS12V",850,0.872,0.9066,0.9109,0.8804,Gold,23/08/2018
Lenovo,FSP350-60AGBAK,Custom,350,0.8007,0.8615,0.8899,0.8612,Silver,22/08/2018
Xilence,XP1050MR9,ATX12V,1050,0.8836,0.9159,0.9203,0.8905,Gold,15/08/2018
Xilence,XP1250MR9,ATX12V,1250,0.889,0.915,0.9217,0.894,Gold,15/08/2018
HuntKey,HK700-51PP,ATX12V,600,0.8492,0.8775,0.9038,0.873,Gold,14/08/2018
Be Quiet,L11-600W,ATX12V,600,0.8346,0.8849,0.9028,0.8754,Gold,14/08/2018
Be Quiet,L11-700W,ATX12V,700,0.8648,0.9018,0.909,0.8766,Gold,14/08/2018
Be Quiet,L11-CM-600W,ATX12V,600,0.8561,0.8964,0.9068,0.8765,Gold,13/08/2018
Be Quiet,L11-CM-700W,ATX12V,700,0.8631,0.902,0.9097,0.878,Gold,13/08/2018
Be Quiet,L11-CM-400W,ATX12V,400,0.8554,0.8974,0.906,0.874,Gold,13/08/2018
Be Quiet,L11-CM-500W,ATX12V,500,0.8648,0.8985,0.9064,0.8777,Gold,13/08/2018
Be Quiet,L11-400W,ATX12V,400,0.8502,0.8957,0.9065,0.8751,Gold,13/08/2018
Be Quiet,L11-500W,ATX12V,500,0.8399,0.8856,0.9003,0.8713,Gold,13/08/2018
FSP Technology Inc.,FSP400-60AGGBQ,ATX12V,400,0.8413,0.8853,0.9049,0.8803,Gold,13/08/2018
FSP Technology Inc.,FSP350-50RGSHM,Other,350,0.7875,0.8579,0.8981,0.8919,Silver,10/08/2018
GAMEMAX,GP400A,ATX12V,400,0.7895,0.8378,0.8632,0.838,Bronze,10/08/2018
Cooler Master,MPY-8501-AFAAGV,ATX12V,850,0.8543,0.897,0.9142,0.8877,Gold,26/07/2018
Cooler Master,MPY-7501-AFAAGV,ATX12V,750,0.8435,0.8893,0.9099,0.8904,Gold,26/07/2018
NZXT,NP-S650M,SFX,650,0.8648,0.905,0.9059,0.8855,Gold,26/07/2018
Fractal Design,FD-PSU-ION-SFX-650G-BK,SFX,650,0.8648,0.905,0.9059,0.8855,Gold,26/07/2018
"Sea Sonic Electronics Co., Ltd.",SSR-450SGX,SFX,450,0.8289,0.8856,0.9012,0.8821,Gold,26/07/2018
"Sea Sonic Electronics Co., Ltd.",SSR-650SGX,SFX,650,0.8648,0.905,0.9059,0.8855,Gold,26/07/2018
Cooler Master,MPY-5501-AFAAGV,ATX12V,550,0.8504,0.892,0.9082,0.8895,Gold,25/07/2018
Cooler Master,MPY-6501-AFAAGV,ATX12V,650,0.8658,0.9022,0.911,0.8865,Gold,25/07/2018
PCYes,ELECV2PTO450W,ATX12V,450,0.7843,0.8425,0.8661,0.8446,Bronze,25/07/2018
PCYes,ELECV2PTO650W,ATX12V,650,0.8265,0.8615,0.8703,0.8356,Bronze,25/07/2018
PCYes,ELECV2PTO550W,ATX12V,550,0.8011,0.8544,0.866,0.8381,Bronze,25/07/2018
Lenovo,PCJ028,Other,180,0.8369,0.863,0.87,0.8432,Bronze,25/07/2018
Kolink,KL-C1500PL,EPS12V,1500,0.8947,0.915,0.9304,0.9067,Platinum,24/07/2018
EVGA,550 GM,"ATX12V, EPS12V",550,0.8602,0.9017,0.9115,0.8829,Gold,24/07/2018
EVGA,650 GM,"ATX12V, EPS12V",650,0.8689,0.9082,0.9154,0.8877,Gold,24/07/2018
EVGA,450 GM,"ATX12V, EPS12V",450,0.8486,0.897,0.915,0.8933,Gold,24/07/2018
ZORD,FG650W,EPS12V,650,0.8523,0.8973,0.9105,0.8833,Gold,18/07/2018
Gigabyte,GP-AP850GM,ATX12V,850,0.8686,0.9014,0.9156,0.8875,Gold,18/07/2018
Gigabyte,GP-AP750GM,ATX12V,750,0.8621,0.8949,0.9092,0.8861,Gold,18/07/2018
Segotep,GP650G(SG-650G),EPS12V,550,0.8434,0.8919,0.9099,0.8851,Gold,18/07/2018
Segotep,GP750G(SG-750G,EPS12V,650,0.8523,0.8973,0.9105,0.8833,Gold,18/07/2018
AVISO TECHNOLOGY LIMITED,SKY600T-T01,ATX12V,600,0.8413,0.8935,0.9091,0.8896,Gold,17/07/2018
EVGA,1300 M1,ATX12V,1300,0.8723,0.9093,0.9181,0.8889,Gold,17/07/2018
Antec,X3000A103 -18,"ATX12V, EPS12V",650,0.806,0.8507,0.8588,0.8227,Bronze,29/06/2018
Antec,X3000A100 -18,"ATX12V, EPS12V",500,0.7785,0.8407,0.8602,0.8329,Bronze,29/06/2018
Antec,X3000A101 -18,"ATX12V, EPS12V",550,0.7882,0.8428,0.8583,0.8311,Bronze,29/06/2018
Super Flower,SF-650F14HG,"ATX12V, EPS12V",650,0.8555,0.8957,0.9075,0.8915,Gold,27/06/2018
Super Flower,SF-750F14HG,"ATX12V, EPS12V",750,0.8747,0.8949,0.9068,0.8821,Gold,27/06/2018
Super Flower,SF-550F14HG,"ATX12V, EPS12V",550,0.8632,0.8953,0.9077,0.894,Gold,27/06/2018
Super Flower,SF-850F14HG,"ATX12V, EPS12V",850,0.8505,0.8928,0.9138,0.8915,Gold,26/06/2018
SilverStone Technology Inc.,SST-NJ450-SXL,SFX,450,0.8352,0.9224,0.9351,0.9193,Platinum,18/06/2018
HuntKey,HK1K0-52PP,ATX12V,1000,0.8701,0.9064,0.9074,0.8727,Gold,06/06/2018
HuntKey,HK950-52PP,ATX12V,850,0.8583,0.8986,0.909,0.8813,Gold,06/06/2018
"HP, Inc.",PS-4501-2,ATX12V,500,0.839,0.8812,0.8889,0.8405,Bronze,04/06/2018
"HP, Inc.",PS-4301-2,ATX12V,300,0.8402,0.8756,0.8966,0.8696,Silver,04/06/2018
HuntKey,HK700-12PP,ATX12V,700,0.8635,0.9053,0.9138,0.885,Gold,29/05/2018
Enhance Electronics,ENP-7520B,FLEX ATX,200,0.7901,0.8436,0.8654,0.8532,Bronze,29/05/2018
"Xingsun Electron&Technology Co.,LTD",ATX700W,ATX12V,700,0.8437,0.8891,0.9078,0.8912,Gold,23/05/2018
GAMETECH BILGISAYAR ITHALAT IHRACAT SAN.TIC.LTD.STI.,GTP-600,ATX12V,600,0.7943,0.8476,0.8597,0.8268,Bronze,22/05/2018
"Xingsun Electron&Technology Co.,LTD",ATX500W,ATX12V,500,0.7597,0.8206,0.8421,0.8111,Standard,22/05/2018
Thermaltake,SP-750AH2NKB SMART BX1 RGB 750W,ATX12V,750,0.85,0.8867,0.8892,0.8476,Bronze,22/05/2018
Thermaltake,SP-650AH2NKB SMART BX1 RGB 650W,ATX12V,650,0.8113,0.8561,0.8697,0.8308,Bronze,22/05/2018
Thermaltake,SP-550AH2NKB SMART BX1 RGB 550W,ATX12V,550,0.7974,0.8494,0.8626,0.83,Bronze,22/05/2018
"Xingsun Electron&Technology Co.,LTD",ATX600W,ATX12V,600,0.7943,0.8476,0.8597,0.8268,Bronze,22/05/2018
FSP Technology Inc.,HPT850M,"ATX12V, EPS12V",850,0.8831,0.9139,0.9254,0.9025,Platinum,21/05/2018
"Mistel Co.,Ltd.",MX650 FANLESS,ATX12V,650,0.8589,0.9012,0.9201,0.9006,Platinum,16/05/2018
"Mistel Co.,Ltd.",MX1000,ATX12V,1000,0.8928,0.9202,0.9201,0.8909,Platinum,16/05/2018
"Mistel Co.,Ltd.",MX850,ATX12V,850,0.8838,0.9167,0.9214,0.9009,Platinum,16/05/2018
"Sea Sonic Electronics Co., Ltd.",A851GCAFH (G12 GC-850),ATX12V,850,0.8275,0.8762,0.9063,0.8945,Gold,15/05/2018
Redragon,RGPS-850W,ATX12V & EPS12V,850,0.8275,0.8762,0.9063,0.8945,Gold,15/05/2018
Antec,X7000A083-20,"ATX12V, EPS12V",850,0.8275,0.8762,0.9063,0.8945,Gold,15/05/2018
